junction_id,latitude,longitude,governorate,ways_count,tier,junction_idx
J_0191,30.1092979,31.3715042,Cairo,3,1,190
J_0192,30.1174208,31.3972226,Cairo,3,1,191
J_0193,30.105395,31.3020667,Cairo,3,1,192
J_0194,30.0883329,31.3016769,Cairo,3,1,193
J_0195,30.0827764,31.2977319,Cairo,3,1,194
J_0196,30.0761807,31.300712,Cairo,3,1,195
J_0197,30.1137925,31.3113199,Cairo,3,1,196
J_0198,30.1142417,31.3100106,Cairo,3,1,197
J_0199,30.0754702,31.3224225,Cairo,3,1,198
J_0200,30.0639406,31.3134547,Cairo,3,1,199
J_0201,30.0565285,31.324234,Cairo,3,1,200
J_0202,30.0565583,31.3244089,Cairo,3,1,201
J_0203,30.0309271,31.2548495,Cairo,3,1,202
J_0204,30.0322442,31.2345846,Cairo,3,1,203
J_0205,30.0287409,31.2347598,Cairo,3,1,204
J_0206,30.0529444,31.3303166,Cairo,3,1,205
J_0207,30.0586583,31.3107007,Cairo,3,1,206
J_0208,30.0573884,31.2584572,Cairo,3,1,207
J_0209,29.898954,31.2948522,Cairo,3,1,208
J_0210,30.2341466,31.2663509,Cairo,3,1,209
J_0211,30.159065,31.2814269,Cairo,3,1,210
J_0212,30.1476635,31.4035713,Cairo,3,1,211
J_0213,30.1508143,31.4043882,Cairo,3,1,212
J_0214,30.1899312,31.4144156,Cairo,3,1,213
J_0215,30.1303818,31.3717418,Cairo,3,1,214
J_0216,30.1247397,31.3155401,Cairo,3,1,215
J_0217,30.1325465,31.3170359,Cairo,3,1,216
J_0218,30.1285788,31.3087204,Cairo,3,1,217
J_0219,30.1259959,31.3166063,Cairo,3,1,218
J_0220,30.1193202,31.3173753,Cairo,3,1,219
J_0221,30.0497504,31.2311551,Cairo,3,1,220
J_0222,30.0544557,31.2786737,Cairo,3,1,221
J_0223,29.8501005,31.2305341,Cairo,3,1,222
J_0224,30.1209701,31.2975471,Cairo,3,1,223
J_0225,30.1175044,31.2918305,Cairo,3,1,224
J_0226,30.1494332,31.4740818,Cairo,3,1,225
J_0227,30.1006591,31.3760631,Cairo,3,1,226
J_0228,29.9921703,31.2602443,Cairo,3,1,227
J_0229,29.9923524,31.2662255,Cairo,3,1,228
J_0230,30.0694903,31.3191798,Cairo,3,1,229
J_0231,30.0996937,31.3058268,Cairo,3,1,230
J_0232,30.0799785,31.2838412,Cairo,3,1,231
J_0233,30.082261,31.2816741,Cairo,3,1,232
J_0234,30.0837394,31.2844526,Cairo,3,1,233
J_0235,30.0696767,31.2648294,Cairo,3,1,234
J_0236,30.0804742,31.2801023,Cairo,3,1,235
J_0237,29.9839809,31.2382282,Cairo,3,1,236
J_0238,30.0695536,31.3486662,Cairo,3,1,237
J_0239,30.0651745,31.3252168,Cairo,3,1,238
J_0240,30.0583008,31.4905093,Cairo,3,1,239
J_0241,30.0586839,31.4930345,Cairo,3,1,240
J_0242,30.0582963,31.4931515,Cairo,3,1,241
J_0243,30.0532996,31.4606846,Cairo,3,1,242
J_0244,30.1065952,31.3238875,Cairo,3,1,243
J_0245,30.1081696,31.3222717,Cairo,3,1,244
